dog_id,df_feedings_per_day,df_diet_consistency,df_supplements,df_primary_diet_component_organic,df_primary_diet_component_grain_free
5240,2,1,False,False,True
19636,2,2,False,False,False
45805,1,1,False,True,True
25333,2,1,True,False,False
53790,2,1,False,False,False
28324,3,1,False,False,True
17268,2,1,False,False,False
58977,2,1,False,False,False
15557,4,1,False,False,True
102685,2,1,True,False,False
72205,2,1,False,False,False
60642,2,1,False,False,True
69116,1,1,True,False,False
4114,2,1,False,False,False
97654,2,1,True,False,True
64678,2,2,False,False,True
33038,4,1,True,False,False
72234,2,1,True,False,False
45597,4,1,True,False,True
69397,2,1,False,False,False
98656,2,2,True,True,True
90391,2,1,False,False,False
3476,1,1,False,False,False
20897,1,1,False,False,True
42137,2,1,False,False,True
80393,4,1,True,False,False
91490,1,1,True,True,True
31125,3,1,False,False,True
95384,2,1,True,False,False
60016,2,1,True,True,True
54244,4,1,True,False,False
55230,2,1,True,False,True
42675,2,1,False,False,True
83352,2,1,False,False,True
77404,2,1,False,False,False
42691,2,1,True,False,False
62801,2,1,False,False,False
61524,2,1,False,False,False
64635,2,1,True,False,False
95151,4,2,False,False,False
28064,2,2,False,False,False
66178,2,1,True,False,False
88379,2,1,False,False,True
4503,2,1,True,False,False
40879,4,1,False,False,False
87947,2,1,True,False,True
87690,2,1,True,True,True
92999,2,1,True,False,False
79804,4,1,True,False,False
50377,2,1,False,False,True
76065,1,3,True,False,True
74929,4,1,True,False,True
102714,2,2,True,False,False
16154,2,1,False,False,False
57419,2,1,True,False,False
15104,1,1,True,False,False
233,2,1,False,False,False
26157,2,1,False,False,True
92296,2,1,False,True,True
12864,2,1,True,False,True
94578,2,1,False,False,True
102086,2,1,False,False,False
3105,2,2,False,False,False
8162,2,1,True,True,True
1852,2,1,False,False,False
29644,2,1,True,False,False
83175,2,1,True,False,False
6880,2,1,True,False,False
53040,2,1,False,False,True
40933,2,1,False,False,False
85173,1,1,False,False,True
82464,2,1,True,True,False
87441,2,1,True,False,True
7023,2,1,True,False,True
81717,2,1,False,False,False
83340,2,1,True,False,True
21602,2,1,False,False,False
16001,2,2,False,False,False
11166,2,1,False,False,False
71254,3,1,True,False,True
79687,2,1,False,False,True
66,2,1,True,False,True
30753,2,1,False,False,False
50326,2,1,False,False,True
68940,2,1,True,False,False
76061,2,1,True,True,True
79383,2,1,False,True,False
2287,2,1,False,False,False
92577,2,1,False,True,False
85835,2,1,True,False,False
35796,4,2,False,False,False
14449,2,1,False,True,True
62250,2,1,True,False,False
22504,2,1,True,False,True
13873,2,1,False,False,False
97737,2,1,False,False,True
69292,2,2,False,False,False
41882,2,1,False,True,True
25921,2,2,True,True,False
60399,2,1,False,False,False
81851,2,1,False,False,False
22556,2,1,True,False,True
63330,2,2,False,False,False
87835,1,1,False,True,True
91022,2,2,True,False,False
38188,2,1,False,False,True
32899,2,1,False,False,True
95758,2,1,True,True,False
24386,2,1,False,False,True
65585,1,1,True,False,True
37601,2,1,True,False,False
1531,2,2,False,False,False
97119,2,1,False,False,False
70850,2,1,False,True,True
70615,2,1,True,False,True
18319,2,1,False,True,True
32081,3,1,True,False,True
63041,1,1,True,False,True
35690,2,1,False,False,True
100332,2,1,False,False,True
70566,2,2,True,False,True
83685,2,1,False,False,False
66289,2,1,True,False,False
94125,2,1,True,False,False
29926,2,1,False,True,True
95442,3,1,True,False,False
84317,2,1,False,True,False
83508,1,1,True,False,False
97331,2,1,True,False,False
37560,1,1,True,False,True
53322,4,1,False,True,True
10880,2,1,True,False,False
43099,2,1,False,True,False
11183,2,1,False,False,True
44979,2,1,False,False,False
79281,2,1,True,False,True
34068,4,1,True,False,True
11753,2,1,True,False,False
94428,2,2,True,False,False
79976,2,2,False,False,False
54801,2,1,False,False,False
88699,3,1,False,False,False
22116,2,1,True,True,True
36702,4,1,True,False,True
27099,2,1,False,True,True
54740,1,1,False,False,False
52593,4,1,True,False,False
54403,3,2,True,False,False
23467,2,1,False,False,True
18270,2,1,False,True,False
89716,2,2,True,False,False
1540,2,1,True,False,False
11481,2,1,True,False,False
80155,1,1,False,False,False
92893,2,1,False,False,False
41347,4,1,False,False,True
17431,2,1,False,False,False
82948,2,1,False,True,False
81817,3,1,False,False,False
94806,2,1,True,False,True
5137,3,1,True,False,True
40629,1,1,False,False,False
87598,1,1,True,False,False
14769,2,1,False,False,True
9075,2,1,False,False,False
87509,2,1,True,False,False
15440,2,1,True,False,True
43971,2,1,False,False,True
100321,1,2,True,False,True
62046,2,2,False,True,False
93243,2,1,False,False,False
15649,2,2,True,False,False
93934,3,1,False,False,False
1195,1,2,True,True,True
82711,2,1,False,False,False
7781,2,1,False,True,True
40593,2,1,True,False,False
52897,1,1,True,False,False
33623,2,1,False,False,False
68759,2,1,False,False,True
20089,2,1,False,False,True
94259,3,1,True,False,True
4828,1,1,False,False,True
6377,2,1,False,False,False
38283,1,1,True,False,False
12,2,1,True,True,False
94354,2,1,False,True,True
58548,3,1,True,False,False
53629,2,1,True,True,True
84665,3,2,False,True,True
57461,2,1,True,True,True
58418,2,1,True,False,True
45256,2,1,False,False,False
15094,2,2,False,True,True
16021,2,2,True,False,True
71351,2,1,False,True,True
58016,2,1,True,False,False
18080,4,1,True,False,False
66419,2,1,True,False,False
94080,2,1,False,True,True
67965,2,1,False,False,True
30061,2,1,True,False,True
13208,2,1,False,False,True
48502,2,1,False,True,True
30018,4,2,True,False,False
80531,2,1,False,True,True
65945,2,1,False,False,False
87033,2,1,True,False,True
3204,2,2,False,False,True
26451,1,1,False,True,True
36961,2,1,False,False,True
86771,2,1,True,False,True
102007,2,1,False,False,False
48204,2,1,False,True,True
15604,2,1,False,False,True
95647,4,1,False,False,True
938,2,1,False,False,False
28893,2,1,False,False,False
91456,3,1,False,False,False
31862,2,1,True,True,False
10700,4,1,False,True,True
81963,3,1,False,False,True
96001,4,1,True,False,False
71380,2,1,False,False,True
4290,2,1,True,False,False
77764,2,1,True,False,False
9941,2,1,False,False,False
14232,2,1,False,True,True
15533,2,1,True,False,False
39309,2,1,True,False,True
77525,2,1,False,True,False
52471,2,1,True,False,False
91233,2,1,False,True,False
90580,2,1,False,False,False
78226,2,1,False,False,False
67388,2,1,False,False,True
73869,1,1,True,False,True
12726,2,1,True,True,True
73067,2,1,True,False,False
37385,2,1,False,False,True
52445,2,1,False,True,True
96392,3,2,False,False,False
54124,2,1,True,False,False
64834,1,1,False,True,True
47898,2,1,True,False,False
88961,2,1,True,False,True
22629,1,1,True,False,False
94093,2,1,False,True,True
93667,3,1,False,True,True
30906,2,1,False,False,True
57394,1,1,True,False,False
63899,2,1,True,False,False
97112,2,1,False,False,False
11247,2,1,False,True,False
1654,2,1,False,False,True
77117,2,2,False,False,True
25269,3,1,False,True,True
42724,4,1,True,False,True
102584,1,1,False,True,True
15252,2,1,True,False,False
19306,1,1,True,False,False
55691,2,1,False,False,False
63049,3,1,True,True,True
99876,2,2,True,False,True
45006,2,1,False,False,False
28473,4,1,True,True,True
3058,2,1,False,True,True
102257,2,1,True,False,False
35333,2,1,True,False,False
46004,4,1,True,False,False
88130,2,1,False,False,False
19429,2,1,True,False,True
55022,2,1,False,False,True
87785,2,1,True,False,False
83034,2,1,False,True,True
60656,2,1,False,False,False
28297,1,1,False,False,True
42588,2,1,False,False,False
71971,2,1,False,False,True
65399,2,1,False,False,True
48945,3,1,True,False,False
313,2,2,True,False,False
53001,2,1,True,False,True
36686,2,1,True,False,False
77429,2,1,False,False,True
61384,1,3,True,False,False
29673,2,1,False,False,True
55283,2,1,False,True,True
25960,2,1,False,False,False
64697,2,1,True,False,True
51650,2,1,True,False,False
68425,4,1,False,False,False
40392,2,1,True,False,True
87448,2,1,False,False,False
82892,2,1,False,True,False
57876,4,1,True,False,True
83383,2,1,True,False,False
84324,1,1,True,False,False
66799,2,1,False,False,False
68927,3,1,False,False,False
102248,2,3,True,False,False
66851,2,1,True,False,False
30141,2,1,False,True,False
84312,2,1,False,False,True
23717,2,1,True,False,False
75850,2,2,False,False,False
22800,4,2,True,False,False
76661,2,1,True,False,False
51136,2,1,False,False,False
89863,2,1,False,False,True
6579,2,1,False,False,False
82549,2,1,True,False,False
12055,2,1,True,False,False
83460,3,1,False,True,True
92678,2,1,False,True,True
28565,2,1,True,True,True
83468,2,1,False,False,True
70153,2,1,False,False,False
51873,2,1,False,False,True
80637,4,2,True,False,False
56912,4,1,True,False,False
22934,2,1,False,False,False
11244,2,1,True,False,True
72244,2,1,True,False,True
36541,4,1,True,False,False
89165,2,1,False,False,True
202,2,2,False,True,True
89777,2,1,True,False,False
50979,2,1,False,False,False
50136,4,1,False,False,False
91526,1,1,True,False,True
98737,3,1,False,False,False
7258,4,1,True,False,False
78684,2,1,False,False,False
69452,2,2,False,False,False
48274,2,1,True,False,True
51183,2,1,False,False,False
8479,2,1,True,True,True
77766,3,1,False,False,True
17455,2,1,True,False,True
7906,3,1,False,True,True
81560,2,1,False,False,False
44261,2,1,False,False,False
86754,2,1,False,False,True
68450,4,1,True,False,True
91191,2,1,False,False,True
86917,2,1,True,False,False
63657,4,1,True,False,True
83200,2,1,False,False,True
56263,2,1,False,False,True
35233,2,1,False,False,False
40469,4,2,True,False,False
33611,4,1,False,True,True
88865,3,1,False,False,False
28326,2,2,True,False,False
84837,2,1,False,False,False
45586,2,1,True,False,True
63524,2,1,False,False,False
1674,2,1,False,False,True
33339,2,1,True,True,True
78422,2,1,True,False,False
88063,2,1,True,False,False
75957,2,1,False,True,True
1230,2,1,False,False,False
94086,2,1,True,False,True
70406,3,1,False,True,True
98977,2,1,False,False,False
50744,2,1,True,False,True
44768,2,1,True,False,True
24906,2,2,True,False,False
18599,2,1,False,True,False
37702,2,1,True,False,False
46838,2,1,False,False,False
48882,2,2,True,False,False
47561,2,1,False,False,True
68563,2,1,False,False,False
16060,1,1,True,False,False
92476,3,1,False,False,False
78270,2,1,False,False,True
59745,2,1,False,False,False
23094,2,1,False,False,False
18062,2,1,True,True,True
59310,2,1,False,True,False
80874,2,1,True,False,False
14465,2,1,False,False,False
96168,2,1,True,False,False
85536,2,1,False,True,True
51041,2,1,False,False,False
96451,2,1,True,False,False
50365,2,1,False,False,False
73526,2,2,True,False,False
18979,2,1,False,False,False
14183,1,1,True,False,False
27401,2,1,False,False,True
8965,2,1,False,False,True
52867,2,2,False,False,False
85376,2,1,True,True,False
55080,2,1,True,False,True
49785,2,1,False,False,True
438,2,1,True,False,False
61252,2,1,False,False,True
10608,2,1,False,False,True
829,2,1,True,False,True
84139,3,1,True,False,False
82574,2,2,True,False,False
76867,2,1,True,False,True
67387,2,1,True,False,False
2346,2,1,True,True,False
13049,2,1,False,False,False
56513,4,2,True,False,True
49326,2,1,True,False,False
41330,4,1,True,True,True
90779,2,1,False,True,True
61323,2,1,True,True,True
50323,2,1,True,False,True
59343,4,1,True,False,False
85350,2,1,True,True,True
49864,2,1,True,False,False
36052,2,1,False,False,True
61010,2,1,True,False,False
78299,2,1,True,True,False
97524,2,1,False,False,False
95390,2,1,True,False,False
88011,2,1,False,False,True
13062,1,1,False,False,False
29534,2,1,False,False,False
94923,2,1,False,False,True
72357,4,1,False,False,False
53900,2,1,True,False,True
37731,2,1,False,False,False
59348,4,2,True,False,True
36936,2,1,True,False,False
27291,2,1,True,False,False
30363,2,1,True,False,False
18632,3,2,True,True,True
90300,2,1,True,False,False
78740,1,1,False,True,True
51654,4,1,False,False,True
90488,2,1,False,False,False
66168,2,1,False,False,True
89422,3,1,False,False,False
37435,2,1,True,False,False
97451,2,1,False,False,False
57641,4,2,True,False,True
97242,2,1,True,False,False
9597,2,1,False,False,True
92843,3,1,False,False,True
88540,2,1,True,False,True
100530,2,1,False,True,False
67462,2,2,False,False,False
16848,3,1,True,False,True
11445,2,1,True,True,True
87428,2,1,False,False,False
37049,2,1,True,False,False
87212,2,2,False,False,False
13473,2,1,True,False,False
82476,2,1,True,True,True
4625,2,2,False,True,True
87176,1,1,True,False,False
24615,2,1,True,False,False
83971,3,1,False,False,False
84514,2,2,False,False,False
99844,3,1,False,False,False
95239,2,1,True,True,False
23613,4,1,True,True,False
24999,2,1,True,False,True
28680,2,1,False,False,False
88311,2,1,False,True,False
42260,2,1,True,False,True
36831,1,1,True,True,True
72592,2,1,False,False,False
102506,2,2,True,True,True
100426,2,1,False,False,False
30763,2,1,True,False,False
75217,2,1,True,False,False
74110,2,1,True,False,False
7463,2,1,False,False,False
28972,3,1,True,True,True
51415,2,1,False,False,False
70568,2,1,True,False,False
13353,4,1,False,False,False
57081,2,1,False,False,True
85954,1,1,True,False,True
92666,4,2,False,False,False
51758,2,1,False,True,False
98819,2,1,True,False,False
95532,2,1,True,False,False
61964,2,2,True,False,False
83410,2,1,False,False,False
70146,2,3,False,False,False
37264,2,1,False,False,True
91594,2,1,False,True,True
22330,3,1,True,False,False
48805,4,1,True,False,True
103199,2,1,False,False,False
95683,2,1,False,False,True
58077,2,1,True,False,False
9280,1,1,True,False,False
2381,2,1,False,False,True
15019,2,1,False,False,True
94953,1,1,False,False,True
42842,2,1,True,False,False
87328,2,1,True,True,True
34009,2,1,True,False,False
31014,2,1,True,False,False
32214,4,1,True,False,True
95231,4,2,True,False,False
60082,2,1,True,False,False
89538,3,2,True,False,True
53277,2,1,False,False,False
74311,2,1,True,False,False
5351,2,2,True,False,False
48556,2,2,False,False,False
15948,4,1,True,False,False
11690,1,1,False,False,False
54550,4,1,True,False,False
16086,2,1,False,False,False
79749,2,1,False,False,False
26537,2,1,True,False,False
29247,2,1,False,False,True
89294,3,1,False,False,False
31913,2,1,True,True,True
72992,2,1,True,False,True
34270,2,1,False,True,False
85513,4,1,False,False,False
22866,1,1,True,True,True
13779,4,1,False,False,False
41923,4,2,True,False,False
99659,2,1,False,False,False
3830,2,1,True,False,False
40472,2,1,True,False,False
36300,2,1,True,False,False
35114,2,1,False,False,False
913,2,1,False,False,True
51360,3,1,True,False,False
88861,2,1,False,False,True
100576,4,1,False,False,False
19039,2,1,True,False,True
87693,2,1,True,False,False
18294,2,1,False,True,True
93909,2,1,True,False,True
32696,2,1,False,False,False
93328,2,1,False,False,True
68234,2,1,False,False,False
74236,4,2,True,False,True
7071,2,1,False,False,False
99266,2,1,True,False,False
79234,2,1,True,True,False
53316,2,1,False,False,True
100235,2,1,False,True,True
20241,2,1,False,False,False
70967,2,1,False,False,True
67494,2,1,False,True,True
96715,2,1,False,False,True
88840,2,1,True,False,True
82974,2,1,True,False,False
67773,4,3,True,False,False
97144,2,1,False,False,False
71757,3,1,False,False,True
1934,2,2,False,True,False
85540,2,1,False,False,False
79728,2,1,False,False,False
37924,3,2,True,True,True
93175,3,1,True,True,False
29729,2,1,False,False,False
94103,2,1,False,False,False
64001,1,1,True,True,True
83218,2,1,True,False,True
32864,2,1,False,False,False
47897,3,1,False,True,True
26924,2,1,True,False,False
50149,1,1,False,False,True
32608,1,1,True,False,False
72341,2,1,True,False,True
103643,4,1,True,False,False
60355,4,1,True,False,True
57877,2,1,False,True,True
65921,2,1,True,False,False
60766,2,1,False,False,True
11441,2,1,True,False,False
53495,1,1,False,False,True
93192,1,2,True,False,False
76934,1,1,True,False,False
93545,2,1,False,False,False
332,2,1,False,False,False
63683,2,1,False,False,False
82216,2,1,False,False,True
42944,2,1,False,False,False
78552,2,1,False,False,False
35164,4,2,True,False,False
76436,2,1,False,False,True
52686,2,1,False,False,True
91111,2,1,True,False,False
13615,3,2,True,False,False
60227,4,2,True,False,True
41721,2,2,False,False,True
92918,2,1,False,False,True
90007,2,1,False,False,False
88499,2,1,True,False,False
90725,2,1,False,True,False
71288,4,1,False,False,True
2172,2,1,False,False,True
83980,3,1,True,False,False
95593,2,1,True,False,False
10573,2,1,False,False,False
90082,2,1,True,False,True
613,2,2,True,False,False
46445,2,1,False,False,False
67331,4,1,True,False,True
78136,2,1,True,False,True
32959,2,1,True,True,True
95378,2,1,False,False,False
39609,2,1,True,False,True
21653,1,1,True,False,True
44855,2,1,True,False,False
98365,2,1,True,False,True
86392,2,1,False,True,False
40360,2,1,False,True,False
38217,2,1,False,False,False
78286,2,1,True,False,False
67276,2,1,False,False,False
19291,4,1,False,False,True
56422,2,1,True,False,True
91235,2,1,True,False,False
23149,2,1,False,False,False
93825,2,1,True,True,True
59111,4,1,True,True,False
2010,2,1,False,True,True
12687,2,1,False,True,False
61024,1,1,False,True,True
61432,2,1,True,False,False
75397,2,1,True,False,False
87435,1,1,True,False,False
90058,3,1,True,False,False
98426,2,1,False,False,False
42896,2,1,True,True,True
28651,2,1,False,False,True
41099,2,1,True,False,False
1033,2,1,True,False,False
79350,2,1,True,False,True
32823,2,1,True,False,False
27014,2,1,False,False,False
32428,2,1,False,False,False
91178,4,1,False,False,False
81207,2,2,False,False,False
13967,3,1,False,False,False
6180,2,1,False,False,True
8811,2,1,False,False,False
58982,2,1,False,False,True
78224,2,1,False,False,False
60109,2,1,False,False,True
15016,2,1,True,True,True
62658,2,1,True,True,True
55971,2,1,False,False,False
69531,2,1,False,False,True
88233,2,1,True,False,False
102013,2,1,False,False,True
103266,3,1,False,False,True
74420,2,1,True,False,False
38284,2,1,False,False,False
67635,3,1,False,False,True
47399,2,1,False,True,False
45670,1,1,False,False,False
43414,2,1,True,True,False
76682,2,2,False,False,False
58784,1,2,True,False,False
20048,4,1,False,False,True
86192,2,1,False,False,False
21997,4,1,True,True,True
70822,3,1,False,False,True
82179,2,1,True,False,True
56462,2,1,True,False,False
57136,2,2,False,False,False
37880,1,1,False,False,False
37466,2,1,False,False,False
15544,2,1,True,True,True
62457,4,1,True,False,False
23176,1,1,True,False,True
13352,2,1,True,False,True
31956,2,1,True,True,False
70067,2,1,True,False,False
6054,2,1,True,False,True
12376,3,4,True,False,True
93453,3,1,True,False,True
88669,3,1,True,True,False
96178,2,1,True,False,False
62496,2,1,False,False,True
78005,2,2,True,False,True
89608,3,2,True,False,False
33554,4,1,True,True,True
85388,2,1,False,False,True
95603,4,2,False,False,False
53971,2,1,True,False,False
28245,2,1,False,False,True
37015,2,1,False,False,True
82490,2,1,False,False,True
25726,2,1,True,False,False
85319,2,1,True,False,False
99822,2,1,True,False,False
42423,2,1,False,False,False
75205,2,1,True,False,False
35793,2,1,False,True,True
37990,2,1,False,False,False
86071,4,1,True,False,False
97280,2,1,False,False,False
91577,1,1,True,True,True
487,2,1,False,False,False
38193,2,1,False,True,True
90516,1,1,True,True,False
42366,2,1,False,True,True
10438,4,2,True,False,True
85800,2,1,True,False,True
39742,2,1,False,False,False
20976,4,1,True,False,False
77456,2,3,False,True,False
83282,2,1,False,False,False
54310,2,1,True,False,False
15216,2,1,True,False,False
5475,1,1,False,False,True
84621,2,1,False,False,True
76989,2,1,False,False,True
34992,2,1,False,False,False
53462,2,1,False,False,True
53271,2,1,False,False,True
94829,3,1,False,False,False
69077,2,1,False,False,False
78202,2,1,False,True,True
98920,2,1,False,True,True
17728,2,1,False,True,True
56955,4,1,True,True,True
8328,1,4,True,True,True
14934,3,1,False,False,False
52825,2,1,False,False,True
90261,2,1,True,False,False
65897,4,1,True,True,True
62555,2,2,False,False,False
1285,2,1,True,False,True
55589,3,1,True,False,False
47558,4,1,True,False,False
70359,1,1,True,True,True
89151,2,1,False,False,False
62111,1,1,True,False,True
71359,2,1,True,False,True
94894,2,1,False,False,False
51533,1,2,True,False,True
17048,2,1,True,False,True
94935,2,1,False,False,False
88088,2,1,True,False,True
97453,3,1,True,False,False
92506,2,2,False,False,False
74996,4,1,True,False,False
13830,2,1,True,False,True
96096,2,1,False,False,False
86367,2,2,True,False,False
78384,2,1,True,False,False
86977,3,1,False,False,False
77932,2,1,False,False,False
75046,2,1,False,False,False
60283,2,1,False,False,False
58459,2,1,False,False,True
238,4,1,False,False,True
61585,4,1,True,False,False
35607,4,1,True,False,False
96737,2,1,False,True,False
84666,2,1,True,False,False
40243,2,1,False,False,True
89813,2,1,True,False,False
79607,3,1,True,False,False
101519,2,1,False,False,True
92979,3,1,True,False,False
2013,1,1,False,True,True
96056,2,1,True,False,False
65035,2,1,False,True,True
68784,2,1,True,False,True
75198,2,1,False,False,False
46475,4,1,True,False,True
18480,2,1,True,False,False
87072,2,1,False,True,True
72680,2,1,True,False,False
25690,2,1,False,False,True
70512,2,1,True,True,True
80946,2,1,True,False,True
89974,3,2,True,False,False
12485,2,1,False,False,True
61955,4,1,True,True,True
43603,2,1,False,False,True
29636,2,1,True,True,True
28142,4,1,True,False,False
36998,2,1,True,True,True
34072,2,1,False,False,True
45494,2,1,False,False,False
96194,2,2,False,False,False
81583,3,1,False,False,False
3017,2,1,False,True,True
30334,2,1,True,False,False
2628,2,2,False,True,True
21105,4,1,True,False,False
9456,2,1,False,False,False
69957,4,1,True,True,True
85950,2,1,False,False,True
61099,2,1,False,False,True
96151,2,1,False,False,False
80205,2,1,False,True,False
90107,2,2,False,True,True
99570,2,1,True,False,False
84264,2,3,False,False,True
37556,2,1,True,False,False
27080,2,1,False,False,True
81807,2,1,False,False,True
81426,2,1,False,False,False
60350,2,1,True,False,False
97209,2,1,False,False,True
22500,2,1,False,False,False
29870,2,1,True,False,True
13514,4,1,True,False,False
95773,2,1,False,False,False
46665,2,1,True,False,True
18984,2,1,True,False,False
89735,2,1,False,False,True
85701,2,1,True,False,True
55361,2,1,True,False,True
63827,1,1,False,False,False
68018,2,1,False,False,False
48711,2,1,False,False,True
34345,2,1,False,False,False
43729,2,1,False,False,False
21425,3,1,False,True,True
71342,2,1,True,False,True
65599,2,1,False,False,False
57453,2,2,True,False,True
5311,4,1,False,False,False
13529,1,1,True,False,False
88194,2,2,False,False,False
13014,2,2,False,False,True
73272,2,2,False,True,True
33661,1,1,False,False,False
57375,2,2,False,False,False
79511,2,1,True,False,True
103180,2,1,False,True,True
29993,2,1,False,False,True
93990,4,1,False,False,False
37797,2,1,False,False,False
62421,2,1,True,False,True
73471,2,1,False,True,False
14661,2,1,False,False,True
97810,2,1,False,True,False
86445,1,1,False,False,True
51225,2,1,True,False,False
63880,2,1,False,False,False
44305,2,1,True,False,False
12408,2,2,False,True,False
20974,2,1,True,False,True
69507,2,2,True,False,False
18450,2,1,True,False,True
93972,3,1,True,False,True
82760,2,1,False,True,True
36935,2,1,True,False,True
41002,1,1,True,False,True
3059,2,1,False,False,False
63065,2,1,False,False,True
61393,2,1,False,True,True
23967,2,1,True,False,False
54227,2,1,False,False,False
2275,2,1,True,False,False
88908,4,1,False,False,False
54213,2,1,True,False,False
40288,2,1,False,False,True
92028,3,1,True,False,True
86341,4,1,True,False,True
18461,2,1,True,False,False
82952,3,1,True,False,True
80857,2,1,False,False,True
38815,4,1,False,False,False
97490,1,1,True,True,True
67277,4,2,True,False,False
74173,4,1,False,True,True
15887,2,1,True,False,True
1448,2,2,False,True,True
66751,2,1,True,False,True
94874,2,1,False,False,False
70465,2,1,False,False,False
12412,2,2,True,False,True
88173,2,1,False,True,True
45438,2,1,False,True,True
60921,4,1,True,False,True
12887,1,1,True,True,True
66388,2,1,True,False,False
51232,1,2,True,True,False
87811,3,1,False,False,False
88512,2,1,False,False,True
78318,2,1,True,False,True
90883,2,1,True,False,True
44669,3,1,True,True,True
88615,1,1,True,False,False
49615,2,1,False,False,False
7265,4,1,True,False,False
28759,2,1,False,True,False
56228,2,1,False,False,False
83939,2,1,True,False,False
74316,2,1,True,False,False
98501,2,3,True,True,True
93885,2,1,False,False,False
23477,2,1,True,False,True
71526,2,1,False,False,False
45286,2,1,True,False,False
11483,2,2,False,False,False
90162,2,1,True,True,False
43754,2,2,False,False,True
79609,2,2,True,True,False
59875,4,2,True,False,False
71817,2,1,True,False,False
91118,2,1,True,False,False
102494,2,2,False,False,True
55785,4,2,True,False,True
78764,4,1,True,False,True
66795,2,1,True,False,False
85969,2,1,True,False,True
77622,2,2,True,True,True
36572,2,1,True,False,False
759,1,1,False,True,True
48043,2,1,False,False,True
47421,2,1,True,False,False
60063,4,2,True,False,False
24792,2,1,True,False,True
6223,2,1,True,False,False
61519,2,1,True,False,False
40380,2,1,True,False,False
2696,2,2,True,False,True
1113,2,1,True,False,True
30477,1,1,True,False,True
14846,2,1,True,True,True
27373,4,1,True,True,True
50313,2,1,True,False,False
4470,2,1,True,False,False
45708,2,1,False,False,True
94494,2,1,True,True,True
36644,2,1,True,False,False
100679,2,1,True,False,False
6425,2,1,False,False,False
3920,2,1,False,False,False
67816,4,1,False,False,True
16144,2,1,False,False,False
81298,2,1,True,False,False
80994,2,1,True,False,False
63686,2,1,False,False,False
95708,2,1,False,False,False
84439,2,1,True,False,True
78262,3,1,False,True,True
98353,2,1,False,False,False
13831,2,1,False,False,True
51035,2,1,True,True,True
27136,1,2,False,True,True
14042,2,1,True,False,False
65922,1,1,True,False,False
102628,2,1,True,False,True
75924,2,1,True,True,True
