DiseaseGroup;Condition
Ear inflammation and infections;ear abscess
Eye diseases;cataracts
Eye diseases;glaucoma
Eye diseases;retinal degeneration
Eye diseases;progressive retinal atrophy
Eye inflammation;uveitis
Eye inflammation;conjunctivitis
Eye inflammation;eye inflammation
Eye inflammation;inflammed eye
Eye inflammation;pannus
Eye inflammation;blepharitis
Eye inflammation;scleritis
Eye inflammation;chemosis
Eye inflammation;keratitis
Eye inflammation;iritis
Foreign body;foreign body ingestion
Foreign body;intestinal foreign body
Foreign body;foreign body in eye
Foreign body;foreign body in ear
Foreign body;gastric foreign bodies (more than one episode)
Gait abnormalities;lameness
Gait abnormalities;patella luxation
Gait abnormalities;abnormal gait
Gait abnormalities;leg/hip/shoulder disorder
Gait abnormalities;conditions causing lameness
Gastroenteritis and other gi disorders;gastritis
Gastroenteritis and other gi disorders;gastrointestinal/digestive system disorder
Gastroenteritis and other gi disorders;colitis
Gastroenteritis and other gi disorders;inflammatory bowel disease
Gastroenteritis and other gi disorders;pancreatitis
Gastroenteritis and other gi disorders;gastric ulcers
Gastroenteritis and other gi disorders;abdominal pain
Gastroenteritis and other gi disorders;gall bladder inflammation
Gastroenteritis and other gi disorders;bile duct inflammation
Gastroenteritis and other gi disorders;irritable bowel syndrome
Gastroenteritis and other gi disorders;cholangitis
Gastroenteritis and other gi disorders;bowel disorders
Gastroenteritis and other gi disorders;peritonitis
Gastrointestinal nervous system disorders;weight loss
Gastrointestinal nervous system disorders;pain of unknown origin
Gastrointestinal nervous system disorders;dysphagia (problems swallowing)
Gastrointestinal nervous system disorders;oral pain
Gastrointestinal nervous system disorders;muscular pain
Gastrointestinal nervous system disorders;jaw pain
Gastrointestinal nervous system disorders;myasthenia gravis
Gastrointestinal nervous system disorders;muscular dystrophy
Heart diseases;cardiomegaly
Heart diseases;hypertension
Heart diseases;congestive heart failure
Heart diseases;cough
Heart diseases;cardiomyopathy (general)
Heart diseases;syncope (fainting/collapse)
Heart diseases;lethargy
Heart diseases;circulatory disorders
Heart diseases;mitral valve insufficiency
Heart diseases;pericardial effusion
Heart diseases;heart block
Heart diseases;brachycardia
Heart diseases;dilated cardiomyopathy
Heart diseases;aortic stenosis
Heart diseases;myopathy
Heart diseases;bradycardia
Heart diseases;hypertrophic cardiomyopathy
Heart diseases;pulmonic stenosis
Heart diseases;heart attack
Heart diseases;cardio vascular attack/accident
Heart diseases;thrombosis
Heart diseases;atrial fibrillation
Heart diseases;arteriosclerosis
Heart diseases;cardiac tamponade
Heart murmurs or arrythmias;heart murmur
Heart murmurs or arrythmias;cardiac arrythmias
Immune disorders;autoimmune thrombocytopenia
Immune disorders;lymph node enlargement
Immune disorders;auto immune disease (non-specific)
Immune disorders;autoimmune hemolytic anemia
Immune disorders;neutropenia
Immune disorders;lymphadenopathy
Immune disorders;lymphoid hyperplasia
Immune disorders;allergy inhalant
Immune disorders;asthma
Immune disorders;neuritis
Immune disorders;rheumatoid arthritis
Immune disorders;rodent ulcer
Infectious disorders;tooth root infection
Infectious disorders;anal gland infection
Infectious disorders;anal sacculitis
Infectious disorders;tracheobronchitis
Infectious disorders;conditions causing pyrexia/high temperature
Infectious disorders;infected incision
Infectious disorders;endocarditis
Infectious disorders;infected eye
Infectious disorders;Lyme disease
Infectious disorders;erlichiosis
Infectious disorders;kennel cough
Infectious disorders;penile infections
Infectious disorders;coccidiomycosis (Valley Fever)
Infectious disorders;upper respiratory tract infection
Infectious disorders;teeth abscess/infection
Infectious disorders;lower respiratory tract infection
Infectious disorders;anaplasmosis
Infectious disorders;leg infection
Infectious disorders;bronchitis
Infectious disorders;sepsis
Infectious disorders;pyrexia of unknown origin
Infectious disorders;infected mass
Infectious disorders;nasal infection
Infectious disorders;fever/fever syndrome
Infectious disorders;infected wound
Infectious disorders;bacterial overgrowth
Infectious disorders;ringworm
Infectious disorders;systemic infection
Infectious disorders;molar abscess
Infectious disorders;mouth ulceration/abscess
Infectious disorders;dew claw infection
Infectious disorders;gall bladder infection
Infectious disorders;vulvular discharge
Infectious disorders;onchomycosis
Infectious disorders;fungal infection
Infectious disorders;bacterial infection(s)
Infectious disorders;castration complications
Infectious disorders;pyometra
Infectious disorders;osteomyelitis
Infectious disorders;salmonella
Infectious disorders;campylobacteriosis
Infectious disorders;infected mass
Infectious disorders;uterine stump infection
Infectious disorders;vulval infection
Infectious disorders;sheath infection
Infectious disorders;discospondylitis
Infectious disorders;mastitis
Infectious disorders;septic arthritis
Infectious disorders;liver infection
Infectious disorders;tonsillitis
Infectious disorders;canine adentitis
Infectious disorders;leptospirosis
Infectious disorders;periostitis
Infectious disorders;aspergillosis
Infectious disorders;bordetella bronchiseptica
Infectious disorders;septicemia
Infectious disorders;infected tear ducts
Infectious disorders;viral infections
Infectious disorders;dermatomycosis
Infectious disorders;tail gland infections
Infectious disorders;ovarian remnant
Infectious disorders;mastitis
Infectious disorders;canine distemper
Infectious disorders;abdominal steatitis
Infectious disorders;tetanus
Infectious disorders;rabies
Infectious disorders;colonitis
Infectious disorders;infection (ear nose & throat)
Infectious disorders;conditions caused by staphylococcus
Infectious disorders;pyothorax
Infectious disorders;pleurisy/pleuritis
Infectious disorders;hemobartonella
Infectious disorders;conditions caused by viral infections
Infectious disorders;vulva hemorrhage
Infectious disorders;rhinotracheitis
Infectious disorders;myocarditis
Infectious disorders;tuberculosis
Infectious disorders;adentitis
Inflammation;pneumonia
Inflammation;stomatitis (inflamed mouth)
Inflammation;abscess(es)
Inflammation;balanoposthitis
Inflammation;aspiration pneumonia
Inflammation;acral lick granuloma
Inflammation;vaginitis
Inflammation;panosteitis
Inflammation;tracheitis
Inflammation;lymphadenitis
Inflammation;esophagitis
Inflammation;polyarthritis
Inflammation;seborrhea
Inflammation;sinusitis
Inflammation;prostatitis
Inflammation;facial swelling
Inflammation;panniculitis
Inflammation;encephalitis
Inflammation;enlarged prostate
Inflammation;prostate gland hypertrophy
Inflammation;myositis
Inflammation;jaw swelling
Inflammation;meningitis
Inflammation;orchitis (inflamed testes)
Inflammation;seborrhoea
Inflammation;sebaceous adenitis
Inflammation;balanitis (inflammation of glans penis)
Inflammation;vulvitis
Inflammation;salivary gland inflammation
Inflammation;laryngitis
Inflammation;glossitis (inflamed tongue)
Inflammation;facial abscess(es)
Inflammation;bursitis
Inflammation;pharyngitis
Inflammation;abdominal abscess(es)
Inflammation;acne
Inflammation;lymphangitis
Inflammation;meningitis
Inflammation;lymphade0pathy
Inflammation;muzzle swelling
Inflammation;synovitis
Inflammation;eczema
Inflammation;lung lobe atelectosis
Inflammation;sebaceous edema
Inflammation;proctitis
Inflammation;prostatic abscess
Inflammation;pedal abscess(es)
Inflammation;swollen parotid gland
Inflammation;forehead swelling
Inflammation;laryngeal edema
Inflammation;epididymitis
Injuries;injured eye(s)
Injuries;hit by car
Injuries;injured back/spine
Injuries;sprained/strained muscle
Injuries;corneal ulcer
Injuries;lacerations/cuts
Injuries;heatstroke
Injuries;injured tongue
Injuries;bite wound of known origin
Injuries;injured leg(s)
Injuries;soft tissue injury
Injuries;traumatic bruising
Injuries;fractured radius
Injuries;fractured tibia
Injuries;puncture wound
Injuries;hairline fracture
Injuries;insect sting(s)
Injuries;injured tail
Injuries;injured neck
Injuries;injured chest
Injuries;injured elbow
Injuries;injured forearm
Injuries;injured head
Injuries;sprained joint
Injuries;injured eyelid
Injuries;injured mouth
Injuries;fractured dew claw
Injuries;bite wound of unknown origin
Injuries;injured face
Injuries;ear hematomas
Injuries;cold tail syndrome
Injuries;muscle spasm
Injuries;fractured ulna
Injuries;fractured humerus
Injuries;injured nose/nostril
Injuries;burn(s)
Injuries;sprained stifle joint
Injuries;injured throat
Injuries;proptosis (eye prolapse)
Injuries;death from injury
Injuries;injured tendon
Injuries;injured ear(s)
Injuries;injured tibia
Injuries;injured shoulder
Injuries;gunshot wound
Injuries;injured abdomen
Injuries;fractured fibula
Injuries;injured groin
Injuries;kick injury
Injuries;hip dislocation
Injuries;injured mammary glands
Injuries;shock secondary to trauma
Injuries;fractured hip
Injuries;fractured tarsus (hock)
Injuries;multiple lacerations
Injuries;hyperthermia
Injuries;shock
Injuries;achilles tendon rupture
Injuries;fractured tail
Injuries;injured jaw/mandible
Injuries;fractured femur
Injuries;prolapsed vagina
Injuries;tail ulceration
Injuries;injured hip
Injuries;burns
Injuries;injured ligament
Injuries;fractured elbow
Injuries;injured nipple
Injuries;fractured pelvis
Injuries;sprained hock joint
Injuries;ruptured ligament
Injuries;prolapsed penis
Injuries;azoturia/rhabdomyolysis/tying up syndrome
Injuries;abdominal wall rupture
Injuries;fractured mandible (lower jaw)
Injuries;tail necrosis
Injuries;fractured scapula shoulder blade
Injuries;motor vehicle accident/without apparent injury
Injuries;torn ligament
Injuries;fractured maxilla (upper jaw)
Injuries;torn muscles
Injuries;fibrotic myopathy
Injuries;penile/sheath injury
Injuries;soft palate injury
Injuries;injured muscle
Injuries;bony exostosis
Injuries;injured pelvis
Injuries;vulval haemorrhage
Injuries;injured tail dock site
Injuries;shoulder luxation
Injuries;injured flank
Injuries;fractured ribs
Injuries;fractured vertebrae
Injuries;shoulder dislocation
Injuries;sprained/strained sacro-iliac joint
Injuries;shoulder lesion
Injuries;injured thigh
Injuries;leg dislocation
Injuries;chipped bone
Injuries;concussion
Injuries;airgun wound
Injuries;hard palate damage
Injuries;rectal tear
Injuries;trapped nerves
Injuries;injured axilla
Injuries;fractured skull
Injuries;fractured vertebrae
Injuries;traumatic rupture of the diaphragm
Injuries;brain hemorrhage
Injuries;hemarthrosis
Internal parasites;internal parasites
Internal parasites;giardiasis
Internal parasites;coccidiosis
Internal parasites;tapeworm
Internal parasites;hookworm
Internal parasites;roundworm/strongyle
Internal parasites;intestinal parasites
Internal parasites;heartworm
Internal parasites;eosinophilia
Internal parasites;whipworms
Internal parasites;internal parasites and parasitic conditions
Internal parasites;babesiosis
Internal parasites;lungworm
Internal parasites;blood parasites
Internal parasites;toxoplasmosis
Internal parasites;leishmaniosis
Internal parasites;pinworm
Internal parasites;ascarids
Internal parasites;hookworm anemia
Internal parasites;cryptosporidiosis
Internal parasites;cysticercosis
Internal parasites;migrating worm larvae infestation
Intoxication;poisonous plant ingestion
Intoxication;poisoning of unknown origin
Intoxication;poisoning from food or additives
Intoxication;NSAID toxicity
Intoxication;illegal drug poisoning
Intoxication;poisoning (miscellaneous)
Intoxication;acetaminophen toxicity
Intoxication;prescription drug poisoning
Intoxication;ethylene glycol poisoning
Intoxication;rat poison ingestion
Intoxication;lead poisoning
Itching;pruritis
Itching;conditions causing scratching/itching
Kidney disorders;kidney disorders
Kidney disorders;chronic renal failure
Kidney disorders;kidney failure
Kidney disorders;acute renal failure
Kidney disorders;diabetes insipidus
Kidney disorders;portocaval shunt
Kidney disorders;nephrotic syndrome
Kidney disorders;uremia
Leg injuries;injured paw(s)
Leg injuries;broken nail
Leg injuries;swollen paw
Leg injuries;cut paw pad
Leg injuries;injured toe(s)
Leg injuries;swollen digit
Leg injuries;injured dewclaw
Leg injuries;injured pad(s)
Leg injuries;fractured toe(s)
Leg injuries;injured nail
Leg injuries;injured carpus
Leg injuries;injured hock
Leg injuries;fractured phalanx/toe
Leg injuries;carpal swelling
Leg injuries;carpal valgus injury
Leg injuries;fractured patella (kneecap)
Leg injuries;stifle dislocation
Leg injuries;chip fracture in a joint
Leg injuries;amputated foot
Leg injuries;splay leg
Leg injuries;metaphyseal osteopathy
Leg injuries;broken nail
Leg injuries;subluxation of the patella
Leg injuries;tibial crest implant
Leg injuries;severed tendons
Leg injuries;osteopathy
Leg injuries;amputated paw
Leg injuries;subchondral bone cysts
Lethargy;conditions causing lethargy
Liver disorders;hepatopathy
Liver disorders;liver damage
Liver disorders;liver disease (hepatitis)
Liver disorders;portosystemic shunt
Liver disorders;splenomegaly (enlarged spleen)
Liver disorders;liver failure
Liver disorders;bacterial hepatitis
Liver disorders;jaundice
Liver disorders;cirrhosis
Liver disorders;viral hepatitis
Liver disorders;hepatic lipidosis
Mass lesion or swelling;mass
Mass lesion or swelling;cyst(s)
Mass lesion or swelling;neoplasia
Mass lesion or swelling;growths
Mass lesion or swelling;eyelid tumour/mass
Mass lesion or swelling;swelling
Mass lesion or swelling;warts
Mass lesion or swelling;nodule
Mass lesion or swelling;papilloma(s)
Mass lesion or swelling;cancer
Mass lesion or swelling;neck lesions
Mass lesion or swelling;tumors (neoplasia)
Mass lesion or swelling;nodule in chest
Mass lesion or swelling;brain tumor
Mass lesion or swelling;eye cyst
Mass lesion or swelling;prostatic tumor
Mass lesion or swelling;hematomas
Mass lesion or swelling;hyperplasia
Mass lesion or swelling;ovarian cysts
Mass lesion or swelling;sebaceous cyst
Mass lesion or swelling;papillomatosis
Mass lesion or swelling;polyps
Mass lesion or swelling;anal gland tumor
Mass lesion or swelling;skin nodules
Mass lesion or swelling;granulomas
Mass lesion or swelling;anal polyps
Mass lesion or swelling;nasal tumors
Mass lesion or swelling;testicular tumours
Mass lesion or swelling;interdigital tumour
Mass lesion or swelling;seromas
Mass lesion or swelling;pappilloma(s)
Mass lesion or swelling;ear nodule
Mass lesion or swelling;interdigital cysts
Mass lesion or swelling;prostatic tumour
Mass lesion or swelling;testicular tumor(s)
Mass lesion or swelling;salivary cysts
Mass lesion or swelling;skin neoplasia
Mass lesion or swelling;mammary growths
Mass lesion or swelling;mammary abscess(s)
Mass lesion or swelling;hygroma
Mass lesion or swelling;focal adnexal dysplasia
Mass lesion or swelling;dermoid cysts
Mass lesion or swelling;inguinal lump
Mass lesion or swelling;ulcerated nasal lesion
Mass lesion or swelling;aural polyps
Mass lesion or swelling;oral fibroma
Mass lesion or swelling;cystic ovaries
Mass lesion or swelling;nasal granuloma
Mass lesion or swelling;eyelid wart
Mass lesion or swelling;granulosa cell tumours
Mass lesion or swelling;bladder hyperplasia
Mass lesion or swelling;ranulas
Mass lesion or swelling;spinal cord sarcoma
Mass lesion or swelling;granulosa cell tumor
Mass lesion or swelling;osteochondroma
Mass lesion or swelling;reactive fibrous tissue
Mass lesion or swelling hematopoietic;lymphosarcoma/lymphoma
Mass lesion or swelling hematopoietic;leukemia
Mass lesion or swelling hematopoietic;lymphomas/lymphosarcoma
Mass lesion or swelling hematopoietic;hemangiopericytoma
Mass lesion or swelling hematopoietic;lymphosarcomas)
Mass lesion or swelling malignant;carcinoma
Mass lesion or swelling malignant;mast cell tumor(s)
Mass lesion or swelling malignant;splenic tumors
Mass lesion or swelling malignant;osteosarcoma
Mass lesion or swelling malignant;melanomas
Mass lesion or swelling malignant;hemangiosarcoma
Mass lesion or swelling malignant;sarcoma
Mass lesion or swelling malignant;mammary tumor(s)
Mass lesion or swelling malignant;fibrosarcoma
Mass lesion or swelling malignant;anal adenocarcinoma
Mass lesion or swelling malignant;hepatomas
Mass lesion or swelling malignant;basal cell tumor
Mass lesion or swelling malignant;malignant tumors
Mass lesion or swelling malignant;renal neoplasia
Mass lesion or swelling malignant;squamous cell carcinoma
Mass lesion or swelling malignant;lumbar neoplasia
Oral inflammation;gingivitis
Oral inflammation;periodontal disease
Oral inflammation;periodontitis
Oral inflammation;pyorrhea (advanced peridontal disease)
Pain disorders;painful toe
Pain disorders;cervical pain/ disease
Pain disorders;back pain
Pain disorders;inappetance/decreased appetite
Pain disorders;conditions causing weight loss
Pain disorders;anorexia
Pain disorders;hip pain
Pain disorders;laminectomy
Pain disorders;pain of unknown origin
Pain disorders;spinal pain
Pain disorders;lumbar pain
Pain disorders;syringomyelia
Pain disorders;shoulder pain
Pain disorders;polyphagia
Pain disorders;joint pain
Pain disorders;myelopathy
Pain disorders;spinal compression
Pain disorders;thoracic lumbar pain
Pain disorders;pinched nerve
Pain disorders;sacro-iliac subluxation
Pain disorders;silent heat
Pain disorders;growing pains
Respiratory infections;wheezing
Respiratory infections;coughing
Respiratory infections;rhinitis
Respiratory infections;trachea collapse
Respiratory infections;lung disease
Respiratory infections;reverse sneezing
Respiratory infections;dyspnea
Respiratory infections;respiratory tract illness
Respiratory infections;small airways disease
Respiratory infections;throat problems
Respiratory infections;epistaxis (nasal bleeding)
Respiratory infections;bronchitis
Respiratory infections;pleural effusion
Respiratory infections;upper respiratory congestion
Respiratory infections;nasal discharge
Respiratory infections;laryngeal paralysis
Respiratory infections;COPD
Respiratory infections;conditions causing epistaxis
Respiratory infections;pulmonary congestion/edema
Respiratory infections;respiratory obstruction
Respiratory infections;smoke inhalation
Respiratory infections;pneumothorax
Respiratory infections;conditions causing snuffles
Respiratory infections;emphysema
Respiratory infections;blocked nasal ducts
Respiratory infections;chylothorax
Respiratory infections;pharangeal condition
Respiratory infections;diaphragmatic flutter
Seizures;seizures
Seizures;CNS disorder
Seizures;hydrocephalus
Seizures;syncope/collapse
Seizures;conditions causing headshaking
Seizures;conditions causing incoordination
Seizures;headshaking
Seizures;epilepsy
Seizures;brain disease
Seizures;stroke
Seizures;nerve deficits
Seizures;brain disorder
Seizures;cerebellar disease
Seizures;cerebral disease
Skeletal conformation disorders;hip dysplasia
Skeletal conformation disorders;elbow dysplasia
Skeletal conformation disorders;growth plate disorders
Skeletal conformation disorders;cervical spondylopathy
Skeletal conformation disorders;abnormal spinal conformation
Skeletal conformation disorders;osteodystrophy
Skeletal conformation disorders;osteochondritis dissecans (OCD)
Skeletal conformation disorders;osteochondrosis
Skeletal conformation disorders;skeletal defect
Skeletal conformation disorders;elbow dysplasia
Skeletal conformation disorders;growth plate disturbances
Skeletal conformation disorders;abnormal conformation
Skeletal conformation disorders;carpus varus
Skeletal conformation disorders;cervical vertebral malformation
Skeletal conformation disorders;ununited anconeal process
Skeletal conformation disorders;rickets
Skeletal conformation disorders;cow hocked conformation
Skeletal conformation disorders;lordosis
Skin infections;skin disease
Skin infections;skin lesions
Skin infections;superficial pyoderma
Skin infections;skin infection
Skin infections;foot infection
Skin infections;infected paw
Skin infections;cellulitis
Skin infections;staphylococcosis skin infection
Skin infections;hyperkeratosis
Skin infections;paronychia
Skin infections;pustules
Skin infections;infected digit
Skin infections;deep pyoderma
Skin infections;folliculitis
Skin infections;furunculosis
Skin infections;pad infection
Thyroid disorders;hypothyroid/hypothyroidism
Thyroid disorders;hyperthyroid/hyperthyroidism
Thyroid disorders;thyroid hyperplasia
Unspecified allergies;unspecified allergies
Urinary incontinence;incontinence
Urinary tract disorders;polyuria
Urinary tract disorders;hematuria
Urinary tract disorders;urinary tract infection
Urinary tract disorders;urinary tract disease
Urinary tract disorders;cystitis
Urinary tract disorders;polydipsia
Urinary tract disorders;pollakuria/stranguria
Urinary tract disorders;proteinuria
Urinary tract disorders;pyelonephritis
Urinary tract disorders;dysuria
Urinary tract disorders;urethritis
Urinary tract disorders;bladder rupture
Urinary tract disorders;nephritis
Urinary tract disorders;nephrectomy
Vomiting and diarrhea;gastroenteritis
Vomiting and diarrhea;diarrhea
Vomiting and diarrhea;vomiting and diarrhea
Vomiting and diarrhea;vomiting
Vomiting and diarrhea;conditions causing vomiting and diarrhea
Vomiting and diarrhea;conditions causing vomiting
Vomiting and diarrhea;hemorrhagic gastroenteritis
Vomiting and diarrhea;gagging
Vomiting and diarrhea;conditions causing diarrhea
Vomiting and diarrhea;regurgitation/retching
Vomiting and diarrhea;hematemesis
Vomiting and diarrhea;nausea
